Arabic, عربى
A block identifier with the same properties already exists in the selected store.,معرف الكتلة بنفس الخصائص موجود بالفعل في المخزن المحدد.
The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.,The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.
The page URL key can't use only numbers. Add letters or words and try again.,The page URL key can't use only numbers. Add letters or words and try again.
"Please rename the folder using only letters, numbers, underscores and dashes.",الرجاء إعادة تسمية المجلد باستخدام الحروف والأرقام, و الشرطات و الشرطات أسفل السطر فقط.,,,,
We found a directory with the same name. Please try another folder name.,وجدنا دليل بنفس الاسم. الرجاء محاولة إدخال اسم مجلد آخر.
We cannot create a new directory.,لا يمكننا إنشاء دليل جديد.
We cannot delete directory %1.,لا يمكننا حذف الدليل %1.
We can't upload the file right now.,لا يمكن تحميل الملف الآن.
We can't delete root directory %1 right now.,ونحن لا يمكن حذف جذر الدليل %1 الآن.
Privacy and Cookie Policy,سياسة الخصوصية وملفات تعريف الارتباط
Error message,Error message
LocalizedException,إستثناء المحليات
RuntimeException,إستثناء وقت التشغيل
Exception,استثناء
Could not create a directory.,تعذر إنشاء الدليل.
Edit,تعديل
Delete,احذف
Delete %1,حذف %1
Are you sure you want to delete a %1 record?,Are you sure you want to delete a %1 record?
All Store Views,واجهه جميع المواقع
View,عرض
px.,بكسل.
No files found,لم يتم العثور على الملفات
Upload Images,Upload Images
Collapse All,طوي الكل
Expand All,عرض الكل
We could not detect a size.,تعذر الكشف عن الحجم.
Save Page,حفظ الصفحة
Media Gallery,معرض الوسائط
Content Management,إدارة المحتوى
TinyMCE 4,TinyMCE 4
CMS Home Page,CMS الصفحة الرئيسية
CMS No Route Page,CMS لا يوجد مسار للصفحة
CMS No Cookies Page,لا للكوكيز في صفحة نظام إدارة المحتوى
Show Breadcrumbs for CMS Pages,إعرض جزئيات لصفحة نظام إدارة المحتوى
Browser Capabilities Detection,إكتشف امكانيات المستعرض
Redirect to CMS-page if Cookies are Disabled,إعادة توجيه إلى صفحة نظام إدارة المحتوى إذا كانت ملفات الكوكيز معطلة
Show Notice if JavaScript is Disabled,إعرض إشعار إذا كانت جافا سكريبت معطلة
Show Notice if Local Storage is Disabled,"إعرض إشعار إذا كانت ذاكرة ""التخزين المحلية"" معطلة"
Default Page Layout,Default Page Layout
WYSIWYG Options,خيارات ما تشاهده هو ما تحصل عليه WYSIWYG
Enable WYSIWYG Editor,تمكين محرر ما تشاهده هو ما تحصل عليه WYSIWYG
WYSIWYG Editor,WYSIWYG Editor
CMS Page Link,رابط صفحة نظام إدارة المحتوى
Link to a CMS Page,أربط لصفحة نظام إدارة المحتوى
CMS Page,صفحة نظام إدارة المحتوى
Select Page...,حدد صفحة...
Anchor Custom Text,نص مرساة مخصص
"If empty, the Page Title will be used",إذا كان فارغاً, سيتم استخدام عنوان الصفحة,,,,
Anchor Custom Title,عنوان مرساة مخصص
Template,قالب
CMS Page Link Block Template,رابط لصفحة قالب نظام إدارة المحتوى
CMS Page Link Inline Template,رابط قالب مضمن لصفحة نظام إدارة المحتوى
CMS Static Block,كتلة صفحة نظام إدارة المحتوى الثابتة
Contents of a Static Block,محتويات كتلة ساكنة
Block,رقم القطعة
Select Block...,حدد كتلة...
CMS Static Block Default Template,كتلة القالب الافتراضي الثابتة لصفحة نظام إدارة المحتوى
General Information,المعلومات العامة
Enable Block,تمكين كتلة
Block Title,حجب العنوان
Are you sure you want to delete selected items?,Are you sure you want to delete selected items?
Delete items,حذف عناصر
Page Information,بيانات الصفحة
Enable Page,تمكين الصفحة
Content,المحتوى
Content Heading,عنوان المحتوى
Search Engine Optimization,Search Engine Optimization
Meta Title,Meta: العنوان
Meta Keywords,Meta: الكلمات الدلالية
Meta Description,Meta: الوصف
Page in Websites,صفحة في المواقع
Design,تصميم
Layout Update XML,تحديث لغة الترميز القابلة للامتداد النسق
Custom Design Update,تحديث تصميم مخصص
From,من
To,إلى
New Theme,واجهة جديدة
-- Please Select --,--الرجاء الاختيار-
New Layout,تخطيط جديد
Disable,إبطال
Enable,تفعيل
Custom design from,تصميم مخصص من
Custom design to,تصميم مخصص إلى
Custom Theme,قالب مخصص
Custom Layout,تخطيطات مخصصة
This block no longer exists.,هذه المجموعة لم يعد موجوداً.
Future Update already exists in this time range. Set a different range and try again.,Future Update already exists in this time range. Set a different range and try again.
Error,خطأ
Currently Active,نشط حاليا
New Theme,واجهة جديدة
-- Please Select --,-- من فضلك اختر --
Scheduled Changes,التغييرات المقررة
Name,اسم
Description,الوصف
Action,إجراء
Update Information,معلومات التحديث
Schedule Update,جدولة تحديث
Update Name,اسم التحديث
Start Date,تاريخ البدء
End Date,تاريخ الانتهاء
General Information,المعلومات العامة
Enable Block,تمكين كتلة
Block Title,حجب العنوان
Identifier,معرف
Store View,عرض المتجر
Save as a New Update,حفظ كتحديث جديد
Move to Another Update,انقل إلى تحديث آخر
Delete the Update,حذف التحديث
The block will be removed from the update and all scheduled changes will be lost.,سيتم إزالة Block من التحديث وسيتم فقدان كافة التغييرات المجدولة.
200,200
100,100
50,50
30,30
20,20
Start Time,زمن البداية
End Time,نهاية الوقت
Remove CMS page from Update,إزالة صفحة CMS من التحديث
Enable Page,تمكين الصفحة
Page Title,عنوان الصفحة
Content,المحتوى
Content Heading,عنوان المحتوى
Search Engine Optimisation,تحسين محرك البحث
URL Key,مفتاح URL
Meta Keywords,Meta: الكلمات الدلالية
Meta Description,Meta: الوصف
Page in Websites,صفحة في المواقع
Design,تصميم
Layout,تخطيط
Layout Update XML,تحديث لغة الترميز القابلة للامتداد النسق
The page will be removed from the update and all scheduled changes will be lost.,سيتم إزالة الصفحة من التحديث وسيتم فقدان كافة التغييرات المجدولة.
CMS Pages,صفحات نظام إدارة المحتوى CMS
CMS Blocks,كتلة نظام إدارة المحتويات CMS
ID,الرمز التعريفي
Title,العنوان
Status,الحاله
Default Config,التكوين الافتراضي
Save Config,حفظ التشكيل
[GLOBAL],[عام]
[WEBSITE],[الموقع]
[STORE VIEW],[STORE VIEW]
Use system value,استخدام قيم مخصصة
Use Default,استخدام افتراضي
Use Website,استخدام موقع
Add,إضافة
Delete File,حذف ملف
Search String,البحث النصي
Design Theme,تصميم ثيم
Add \Exception,إضافة \استثناء
-- No Theme --,-لايوجد تصميم شكلي-
Enable,تفعيل
Disable,إبطال
Configuration,الضبط
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
%1 should implement %2,%1 should implement %2
"The value you set has already been locked. To change the value, use the --%1 option.","The value you set has already been locked. To change the value, use the --%1 option."
1%,1%
"Configuration for path: ""%1"" doesn't exist","Configuration for path: ""%1"" doesn't exist"
System,النظام
You saved the configuration.,قمت بحفظ الضبط.
Something went wrong while saving this configuration:,حدث خطأ أثناء حفظ هذا التكوين:
Page not found.,لم يتم العثور على الصفحة.
Please specify the admin custom URL.,الرجاء تحديد عنوان URL المخصص للمشرف.
Invalid %1. %2,%1 غير صالح. %2
Value must be a URL or one of placeholders: %1,يجب أن تكون قيمة URL أو واحد من العناصر النائبة: %1
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","تحديد URL أو المسار الذي يبدأ ب placeholder(s): %1، وينتهي مع ""/""."
%1 An empty value is allowed as well.,%1 كذلك يسمح بقيمة فارغة.
Specify a fully qualified URL.,حدد عنوان URL مؤهل بشكل كامل.
"Selected allowed currency ""%1"" is not available in installed currencies.","العملة المحددة المسموح بها ""%1"" غير متوفر في العملات المثبتة."
"Default display currency ""%1"" is not available in allowed currencies.","عرض العملة الافتراضية ""%1"" غير متوفر في العملات المسموح بها."
"Sorry, we haven't installed the base currency you selected.",عذراً, لم تقم بتثبيت العملة الأساسية التي قمت بتحديدها.,,,,
We can't save the Cron expression.,لايمكننا حفظ تعبير Cron.
"Sorry, we haven't installed the default display currency you selected.",عذراً,لم تقم بتثبيت عملة العرض الافتراضية التي حددتها.,,,,
"Sorry, the default display currency you selected is not available in allowed currencies.",عفواً, العمله الافتراضية التي حددتها غير متوفرة في العملات المسموح بها.,,,,
"The ""%1"" email address is incorrect. Verify the email address and try again.","The ""%1"" email address is incorrect. Verify the email address and try again."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","اسم المرسل ""%1"" غير صحيح. الرجاء استخدام أحرف مرئية فقط ومسافات."
Maximum sender name length is 255. Please correct your settings.,طول الحد الأقصى للمرسل هو 255 حرفاً. الرجاء تصحيح الإعدادات الخاصة بك.
The file you're uploading exceeds the server size limit of %1 kilobytes.,الملف الذي تقوم برفعه يتجاوز حد حجم الملقم %1 كيلو بايت.
The base directory to upload file is not specified.,لم يتم تحديد الدليل الأساسي لتحميل الملف.
The specified image adapter cannot be used because of: %1,لا يمكن استخدام محول الصورة المحدد بسبب: %1
Default scope,نطاق افتراضي
Base currency,العملية الاساسية
Display default currency,عرض العملة الافتراضية
website(%1) scope,الموقع(%1) مدى
store(%1) scope,تخزين(%1) مدى
"Currency ""%1"" is used as %2 in %3.","العملة ""%1""تستخدم كـ %2 في %3."
The time zone is incorrect. Verify the time zone and try again.,The time zone is incorrect. Verify the time zone and try again.
"The ""%1"" file doesn't exist.","The ""%1"" file doesn't exist."
"The ""%1"" path doesn't exist. Verify and try again.","The ""%1"" path doesn't exist. Verify and try again."
Always (during development),دائماً (أثناء التطوير)
Only Once (version upgrade),مرة واحدة فقط (ترقية الإصدار)
Never (production),ابداً (الإنتاج)
Bcc,نسخة مخفية
Separate Email,بريد إلكتروني مفصول
%1 (Default),%1 (افتراضي)
title,العنوان
No,لا
Optional,اختياري
Required,مطلوب
Website,الموقع
Store,متجر
Store View,عرض المتجر
HTTP (unsecure),HTTP (غير امن)
HTTPS (SSL),HTTPS (SSL)
Yes (302 Found),نعم (302 وجدت)
Yes (301 Moved Permanently),نعم (301 انتقلت بشكل دائم)
Yes,نعم
Specified,محدد
Visible section not found.,Visible section not found.
Config form fieldset clone model required to be able to clone fields,Config form fieldset clone model required to be able to clone fields
"%1: Instance of %2 is expected, got %3 instead","%1: Instance of %2 is expected, got %3 instead"
"'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again.""","'The XML in file ""%1"" is invalid:' . ""\n%2\nVerify the XML and try again."""
.,.
'There is no defined type ' .,'There is no defined type ' .
'Object is not instance of ' .,'Object is not instance of ' .
Filesystem is not writable.,Filesystem is not writable.
Some error,خطأ ما
Some message,Some message
You cannot run this command because the Magento application is not installed.,You cannot run this command because the Magento application is not installed.
This command is unavailable right now.,This command is unavailable right now.
"The ""test/test/test"" path does not exists","The ""test/test/test"" path does not exists"
error message,error message
some_label,some_label
some_comment,some_comment
some prefix,some prefix
element label,element label
element hint,element hint
element comment,element comment
element tooltip,element tooltip
test,اختبار
test2,test2
Action,Action
Add after,إضافة بعد
Delete,احذف
Current Configuration Scope:,التشكيل الحالي لنطاق:
Stores,محلات
Group Label,Group Label
Some Label,Some Label
Tab Label,Tab Label
Allow everything,السماح لكل شيء
Magento Admin,Magento ادارة
Dashboard,لوحة التحكم
Manage Stores,إدارة المتاجر
Field 2,Field 2
Field 3,Field 3
Field 3.1,Field 3.1
Field 3.1.1,Field 3.1.1
Field 4,Field 4
Advanced Section,Advanced Section
Advanced Admin Section,Advanced Admin Section
Design Section,Design Section
General Section,General Section
System Section,System Section
Currency Setup Section,قسم ضبط العملة
Developer Section,Developer Section
Web Section,Web Section
Store Email Addresses Section,قسم عناوين البريد الإلكتروني للمتجر
Email to a Friend,ارسال الى صديق
"Product with assigned super attributes should not have specified ""%1"" value","Product with assigned super attributes should not have specified ""%1"" value"
"Add configurable attributes to the current Attribute Set (""%1"")","إضافة سمات قابلة للتخصيص لمجموعة السمات الحالية (""%1"")"
Add configurable attributes to the new Attribute Set based on current,إضافة سمات قابلة للتخصيص لمجموعة سمات جديدة مبنية على الحالية
New attribute set name,تعيين اسم الصفة الجديدة
Add configurable attributes to the existing Attribute Set,إضافة سمات قابلة للتخصيص لمجموعة السمات الحالية
Choose existing Attribute Set,"اختر ""تعيين السمة"" الحالية"
Save,حفظ
Save & New,حفظ و جديد
Save & Duplicate,حفظ & انشاء نسخة
Save & Close,حفظ وإغلاق
Configurations,الضبط
Attribute Values,قيم السمات
Bulk Images &amp; Price,مجموعة الصور و الأسعار
Create New Attribute,انشاء سمة جديدة
Select Attributes,اختر السمات
Summary,خلاصة
Choose an Option...,اختار خيار...
This attribute is used in configurable products.,يتم استخدام هذه السمة في المنتجات القابلة للتخصيص.
The product is already attached.,The product is already attached.
The parent product doesn't have configurable product options.,The parent product doesn't have configurable product options.
"The child product doesn't have the ""%1"" attribute value. Verify the value and try again.","The child product doesn't have the ""%1"" attribute value. Verify the value and try again."
"The product with the ""%1"" SKU isn't a configurable product.","The product with the ""%1"" SKU isn't a configurable product."
The option that was requested doesn't exist. Verify the entity and try again.,The option that was requested doesn't exist. Verify the entity and try again.
"The ""%1"" entity that was requested doesn't exist. Verify the entity and try again.","The ""%1"" entity that was requested doesn't exist. Verify the entity and try again."
"The variations from the ""%1"" product can't be deleted.","The variations from the ""%1"" product can't be deleted."
"The option with ""%1"" ID can't be deleted.","The option with ""%1"" ID can't be deleted."
"Option with id ""%1"" not found","لم يتم العثور على الخيار بالمعرف ""%1"""
An error occurred while saving the option. Please try to save again.,An error occurred while saving the option. Please try to save again.
"This is implemented for the ""%1"" configurable product only.","This is implemented for the ""%1"" configurable product only."
Option attribute ID is not specified.,لم يتم تحديد تفاصيل معرف الخيار.
Option label is not specified.,لم يتم تحديد بطاقة الخيار.
Option values are not specified.,لم يتم تحديد قيم الخيار.
Value index is not specified for an option.,لم يتم تحديد قيمة الفهرس للخيار.
"Product with id ""%1"" does not contain required attribute ""%2"".","معرف المنتج ""%1"" لا يحتوي على التفاصيل المطلوبة ""%2""."
"Products ""%1"" and ""%2"" have the same set of attribute values.","المنتجات ""%1"" و ""%2"" لها نفس مجموعة قيم التفاصيل."
You can't add the item to shopping cart.,لا يمكنك إضافة ها البند إلى عربة التسوق.
You need to choose options for your item.,تحتاج إلى تحديد خيارات هذا المنتج.
Some product variations fields are not valid.,بعض حقول متغيرات المنتج غير صحيحة.
Contribution must have attributes specified. Enter attributes and try again.,Contribution must have attributes specified. Enter attributes and try again.
Type %1 is not an instance of %2,النوع %1 ليس من مثل %2
Choose Affected Attribute Set,اختر مجموعة الخصائص المتأثرة
Add configurable attributes to the current Attribute Set,إضافة سمات قابلة للتخصيص لمجموعة السمات الحالية
Confirm,تأكيد
New Attribute Set Name,اسم مجموعة السمة الجديدة
Select Associated Product,إختر المنتج المرتبط بها
Done,انتهى
Choose a new product to delete and replace the current product configuration.,اختر منتج جديد لحذفه واستبدال التكوين الحالي للمنتج.
"For better results, add attributes and attribute values to your products.",للحصول على أفضل النتائج, أضف سمات وقيم سمة للمنتجات الخاصة بك.,,,,
Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color).,المنتجات القابلة للتخصيص تسمح للعملاء بتخصيص المنتج (مثلاً: لون القميص). تحتاج لإنشاء منتج بسيط لكل تخصيص (مثلاً: منتج لكل لون من ألوان القميص).
"Configurations cannot be created for a standard product with downloadable files. To create configurations, first remove all downloadable files.",لا يمكن إنشاء تكوينات لمنتج قياسي مع الملفات القابلة للتحميل. لإنشاء تكوينات, قم أولاً بإزالة كافة الملفات القابلة للتحميل.,,,,
Add Products Manually,إضافة المنتجات يدوياً
Create Configurations,انشاء ضبط
Current Variations,الاختلافات الحالية
Image,صورة
Name,اسم
SKU,SKU
Price,السعر
Quantity,الكمية
Weight,الوزن
Status,الحاله
Attributes,الصفات
Actions,اعمال
"Custom options with price type ""percent"" is not available for configurable product.","الخيارات التخصيص مع نوع السعر ""نسبة"" غير متوفر للمنتجات القابلة للتخصيص."
This group contains attributes used in configurable products. Please move these attributes to another group and try again.,تحتوي هذه المجموعة على السمات المستخدمة في المنتجات القابلة للتخصيص. الرجاء نقل هذه السمات إلى مجموعة أخرى, وحاول مرة أخرى.,,,,
This attribute is used in configurable products. You cannot remove it from the attribute set.,هذه السمة مستخدمة بالفعل في منتجات قابلة للتخصيص. لا يمكن إزالته من مجموعة السمات.
Associated Products,المنتجات المرتبطه بها
Step 2: Attribute Values,الخطوة 2: قيم السمة
Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.,Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.
Sort Variations,فرز المتغيرات
Options,الخيارات
Select All,اختيار الكل
Deselect All,إلغاء تحديد الكل
Remove Attribute,إزالة السمة
Save Option,حفظ الخيار
Remove Option,إزالة خيار
Create New Value,إنشاء قيمة جديدة
"Step 3: Bulk Images, Price and Quantity",الخطوة 3: الصور والسعر والكمية
Based on your selections %1 new products will be created. Use this step to customize images and price for your new products.,استناداً إلى التحديدات الخاصة بك سيتم إنشاء منتجات جديدة %1. استخدم هذه الخطوة لتخصيص الصور والأسعار للمنتجات الجديدة الخاصة بك.
Images,صور
Apply single set of images to all SKUs,تطبيق مجموعة واحدة من الصور على كافة وحدات SKU
Apply unique images by attribute to each SKU,تطبيق أسعار فريدة من نوعها بالسمة لكل SKU
Skip image uploading at this time,تخطي تحميل الصورة في هذا الوقت
Browse Files...,استعراض ملفات...
Browse to find or drag image here,استعرض للبحث أو اسحب الصورة هنا
Remove image,إزالة الصورة
Hidden,مخفي
Alt Text,النص البديل
Role,دور
Image Size,حجم الصورة
{size},{size}
Image Resolution,دقة الصورة
{width}^{height} px,{width} ^{height} px
Hide from Product Page,إخفاء من صفحة المنتج
Select attribute,حدد السمة
Select,إختيار
Apply single price to all SKUs,تطبيق سعر واحد على كافة وحدات Sku
Apply unique prices by attribute to each SKU,تطبيق أسعار فريدة من نوعها بالسمة لكل SKU
Skip price at this time,تخطي السعر في هذا الوقت
Apply single quantity to each SKUs,تطبيق كمية محددة لكل منتج
Apply unique quantity by attribute to each SKU,تطبيق كمية فريدة من نوعها بالسمة لكل SKU
Skip quantity at this time,تخطي الكمية في الوقت الحالي
Step 1: Select Attributes,الخطوة 1: اختر السمات
Selected Attributes:,السمات المختارة:
Step 4: Summary,الخطوة 4: موجز
Configurable products allow customers to choose options (Ex: shirt color).,
"            You need to create a simple product for each configuration (Ex: a product for each color).""",المنتجات القابلة للتخصيص تسمح للعملاء بتخصيص المنتج (مثلاً: لون القميص).
"            تحتاج لإنشاء منتج بسيط لكل تخصيص (مثلاً: منتج لكل لون من ألوان القميص).""",
Edit Configurations,تعديل الإعدادات
Upload Image,تحميل صورة
Upload image,تحميل صورة
No Image,لا توجد صورة
Choose a different Product,اختر منتج مختلف
Remove Product,إزالة منتج
Create Product Configurations,تخصيص جديد لمنتج
Cancel,إلغاء
As low as,As low as
Regular Price,السعر العادي
New Product Review,مراجعة المنتج الجديد
Here are the products you're about to create.,فيما يلي المنتجات التي كنت على وشك إنشاؤها.
You created these products for this configuration.,قمت بإنشاء هذه المنتجات لهذا التكوين.
Disassociated Products,منتجات غير مرتبطة
These products are not associated.,هذه المنتجات غير مرتبطة.
Disable Product,تعطيل المنتج
Enable Product,تمكين المنتج
Incl. Tax,شامل الضريبة
An attribute has been removed. This attribute will no longer appear in your configurations.,لقد تمت إزالة الخصائص. لن تعد تظهر هذه الخصائص في التكوينات الخاصة بك.
Select options for all attributes or remove unused attributes.,حدد الخيارات لكافة السمات أو ازل السمات الغير المستخدمة.
Choose this option to delete and replace extension data for all past configurations.,Choose this option to delete and replace extension data for all past configurations.
Please select attribute for {section} section.,الرجاء تحديد سمة للقسم {section}.
Please fill in the values for {section} section.,الرجاء تعبئة القيم الخاصة بقسم {section}.
Please fill-in correct values.,الرجاء تعبئة القيم الصحيحة.
Please select image(s) for your attribute.,الرجاء تحديد صور أو صورة للسمة الخاصة بك.
Please choose image(s).,الرجاء اختيار صور أو صورة.
We could not detect a size.,تعذر الكشف عن الحجم.
We don't recognize or support this file extension type.,لم نتعرف او ندعم إمتداد هذا الملف.
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.","When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually."
Please select attribute(s).,الرجاء إختيار خصائص.
Generate Products,إنشاء منتجات
Something went wrong.,حدث خطأ ما.
Buy %1 for %2 each and,Buy %1 for %2 each and
save,حفظ
Configurable Product Image,صورة المنتج القابل للضبط
Select...,اختر...
ID,التعريف
Thumbnail,صورة مصغره
Attribute Code,رمز السمة
Attribute Label,علامة السمة
Required,مطلوب
System,النظام
Visible,ظاهر
Scope,مدى
Searchable,امكانية البحث
Comparable,قابل للمقارنه
As low as:,As low as:
Save,Save
Select...,اختر...
Status,الحاله
ID,التعريف
Thumbnail,صورة مصغره
Name,اسم
SKU,SKU
Price,السعر
Quantity,الكمية
Weight,الوزن
Attributes,الصفات
Attribute Code,رمز السمة
Attribute Label,علامة السمة
Required,مطلوب
System,النظام
Visible,ظاهر
Scope,مدى
Searchable,امكانية البحث
Comparable,قابل للمقارنه
Page not found.,لم يتم العثور على الصفحة.
Thanks for contacting us with your comments and questions. We'll respond to you very soon.,شكرا للاتصال بنا وارسال ملاحظاتك وأسئلتك. سوف نرد عليك قريبا جداً.
An error occurred while processing your form. Please try again later.,حدث خطأ أثناء معالجة النموذج الخاص بك. الرجاء المحاولة مرة أخرى لاحقاً.
Enter the Name and try again.,Enter the Name and try again.
Enter the comment and try again.,Enter the comment and try again.
The email address is invalid. Verify the email address and try again., The email address is invalid. Verify the email address and try again.
* Required Fields,* حقول مطلوبة
Write Us,راسلنا
Jot us a note and we’ll get back to you as quickly as possible., راسلنا بما يدور ببالك وسنرد عليك في اسرع وقت ممكن.
Name,اسم
Email,البريد الإلكتروني
Phone Number,رقم الهاتف
What’s on your mind?,ما الذي يجول ببالك؟
Submit,إرسال
Contact Form,نموذج الاتصال
Phone,Phone
Message,Message
Contacts Section,قسم المراسلات
Contacts,المتصلين
Contact Us,اتصل بنا
Enable Contact Us,تفعيل اتصل بنا
Email Options,خيارات البريد الالكترونى
Send Emails To,ارسل رسائل الى
Email Sender,مرسل البريد الإلكتروني
Email Template,قالب البريد الإلكتروني
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى موضوع الرجوع عند تحديد الخيار ""الإفتراضي""."
Invalid domain name: %1,اسم المجال غير صالح: %1
Invalid cookie lifetime: %1,عمر ملف تعريف الارتباط غير صالح: %1
Invalid cookie path,مسار معلومات المستخدم المؤقتة غير صالح
We use cookies to make your experience better.,نحن نستخدم ملفات الكوكيز لتحقيق تجربة أفضل.
"To comply with the new e-Privacy directive, we need to ask for your consent to set the cookies.",للامتثال للتوجيه الخصوصية الإلكترونية الجديدة, علينا أن نطلب منك الموافقة لتعيين ملفات تعريف الارتباط.,,,,
"<a href=""%1"">Learn more</a>.","<a href=""%1"">المزيد</a>."
Allow Cookies,السماح بالكوكيز
Default Cookie Settings,إعدادات ملفات تعريف الارتباط الافتراضي
Cookie Lifetime,Cookie المده الزمنية
Cookie Path,Cookie الطريق
Cookie Domain,Cookie الملك
Use HTTP Only,استخدام HTTP فقط
Cookie Restriction Mode,وضع تقييد ملفات تعريف الارتباط
We can't save the cron expression.,We can't save the cron expression.
Daily,يوميا
Weekly,إسبوعياً
Monthly,شهريا
"The ""%1"" cron expression is invalid. Verify and try again.","The ""%1"" cron expression is invalid. Verify and try again."
"Invalid cron expression, expecting 'match/modulus': %1","Invalid cron expression, expecting 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","قيمة المهمة المجدولة غير صالحة, المتوقع قيمة عددية"
"Invalid cron expression, expecting 'from-to' structure: %1","Invalid cron expression, expecting 'from-to' structure: %1"
Some error,خطأ ما
Invalid callback: Not_Existed_Class::execute can't be called,استدعاء غير صالح: كلاس_غير_موجودة::لا يمكن استدعائها
Test exception,استثناء للاختبار
Cron (Scheduled Tasks),المهام المجدولة
Times, مرات
For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set. All the times are in minutes.,"لعمل روابط المهام المجدولة التي تم انشائها بالشكل الصحيح رجاءً تاكد من انها وضعت بالشكل الصحيح,جميع الاوقات بالدقائق."
Cron configuration options for group:,خيارات تكوين اجراءات ألية لمجموعة:
Generate Schedules Every,توليد جداول كل
Schedule Ahead for,مهمة مجدولة لـ
Missed if Not Run Within,مفقود اذا لم يتم التشغيل من تلقاء نفسها
History Cleanup Every,تنظيف السجل (الكاش)كل
Success History Lifetime,نجاح سجل التاريخ منذ البدء
Failure History Lifetime,فشل سجل التاريخ منذ البدء
Use Separate Process,استخدام عملية منفصلة
Save Currency Rates,حفظ أسعار العملات
Options,الخيارات
Reset,اعادة ضبط
Import,استيراد
Manage Currency Rates,إدارة أسعار العملات
Import Service,خدمة الاستيراد
Save Currency Symbols,حفظ رموز العملات
Currency Symbols,رمز العملة
Use Standard,استخدام معيار
The Import Service is incorrect. Verify the service and try again.,The Import Service is incorrect. Verify the service and try again.
The import model can't be initialized. Verify the model and try again.,The import model can't be initialized. Verify the model and try again.
"Click ""Save"" to apply the rates we found.","انقر فوق ""حفظ"" لتطبيق المعدلات التي وجدناها."
Currency Rates,أسعار العملات
"Please correct the input data for ""%1 => %2"" rate.",الرجاء تصحيح البيانات المدخلة ل %1 => معدل %2.
All valid rates have been saved.,تم حفظ كل الأسعار الصحيحة.
System,النظام
You applied the custom currency symbols.,قمت بتطبيق رموز العملة المخصصة.
You must first configure currency options before being able to see currency rates.,يجب عليك أولاً تكوين خيارات العملة قبل التمكن من معرفة أسعار العملات.
Old rate:,معدل العمر:
Currency,العملة
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
[STORE VIEW],[STORE VIEW]
The current module XML block name is undefined.,اسم الوحدة النمطية الحالية في قائمة XML غير معرف.
The current module form model pathname is undefined.,لم يتم تعريف اسم مسار نموذج نموذج الوحدة النمطية الحالية.
No,لا
Yes,نعم
Use helper with defined EAV entity.,استخدم مساعد مع إيف كيانا محدداً.
Default EAV Form,Default EAV Form
Please correct the values for minimum and maximum text length validation rules.,Please correct the values for minimum and maximum text length validation rules.
Please correct the values for minimum and maximum date validation rules.,Please correct the values for minimum and maximum date validation rules.
Text Field,حقل النص
Text Area,مربع نص
Multiple Line,أسطر متعددة
Date,التاريخ
Dropdown,قائمة منسدلة
Multiple Select,خيارات متعددة
Yes/No,نعم/لا
File (attachment),ملف (مرفق)
Image File,ملف الصورة
Alphanumeric,أبجدي رقمي
Numeric Only,ارقام فقط
Alpha Only,أحرف فقط
URL,الرابط
Email,البريد الإلكتروني
Strip HTML Tags,إزالة وسم HTML
Escape HTML Entities,Escape HTML Entities
Normalize Date,Normalize Date
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
Sign Out,تسجيل الخروج
Sign In,تسجيل الدخول
You are subscribed to our newsletter.,أنت حاليا مشترك في نشرتنا البريدية.
You aren't subscribed to our newsletter.,أنت حاليا غير مشترك في نشرتنا البريدية.
You have not set a default shipping address.,لم تقم بتعيين عنوان افتراضي للشحن.
You have not set a default billing address.,لم تقم بتعيين عنوان دفع افتراضي.
account informaotion ,معلومات الحساب 
Edit Address,تعديل العنوان
Add New Address,أضف عنوان جديد
region,المنطقة
Create Order,إنشاء طلب
Save Customer,حفظ عميل
Delete Customer,حذف عميل
Reset Password,إعادة تعيين كلمة المرور
Are you sure you want to revoke the customer's tokens?,هل أنت متأكد من أنك تريد إلغاء الرموز المميزة العميل؟
Force Sign-In,تسجيل الدخول فوري
New Customer,عميل جديد
Save and Continue Edit,حفظ ومواصلة التعديل
Back,رجوع
Please select,أختر من فضلك
Reset,اعادة ضبط
ID,التعريف
Product,المنتج
